host_id,reviews_per_month,high_number_of_reviews
142147,1.12,1
142611,0.39,1
142684,1.57,1
142695,0.0,0
143027,2.12,1
143460,0.33,0
143589,1.03,1
144705,0.02,0
145021,0.47,1
145609,0.97,1
145967,0.04,0
146167,0.0,0
146825,0.06,0
146944,0.0,0
147388,0.33,0
147513,6.89,1
148108,1.08,1
148545,0.01,0
148924,1.47,1
149047,0.38,1
149430,0.65,1
149833,0.04,0
149868,4.68,1
150832,1.59,1
151654,0.11,0
153494,3.77,1
153675,1.77,1
153817,2.85,1
154363,1.04,1
154866,2.33,1
154956,0.04,0
155163,0.17,0
155297,0.8699999999999999,1
156734,1.1,1
156935,1.63,1
156959,0.02,0
157051,0.16,0
157795,0.25,0
157798,0.29,0
158284,1.16,1
158739,0.74,1
159370,0.23,0
159726,0.07,0
159917,0.21,0
159936,0.06,0
160337,0.13,0
160356,11.92,1
160565,0.05,0
160605,0.61,1
160956,0.0,0
164534,0.29,0
164675,0.48,1
164781,0.16,0
165045,0.0,0
165566,0.02,0
165789,0.24,0
166014,0.04,0
166634,7.68,1
167417,0.53,1
167796,0.0,0
168417,2.8,1
168525,2.98,1
169653,0.2,0
169843,1.11,1
169927,0.47,1
170094,0.29,0
170510,5.25,1
170553,0.29,0
171213,0.0,0
171250,0.07,0
172672,0.68,1
172741,0.57,1
173009,2.43,1
173218,1.4,1
173729,0.0,0
173938,0.1,0
173980,2.92,1
173997,0.31,0
174025,0.07,0
174570,0.02,0
174798,0.9,1
175408,0.1,0
175694,0.0,0
176285,0.03,0
176332,0.3,0
176371,1.0,1
176836,1.15,1
176903,4.03,1
177233,1.4,1
177293,0.0,0
177724,0.19,0
177846,2.35,1
177922,0.13,0
178043,0.42,1
178551,0.0,0
178755,0.7,1
178784,0.09,0
179020,1.02,1
179246,4.29,1
179296,1.16,1
179679,2.41,1
180416,3.7,1
181167,0.03,0
181376,3.6399999999999997,1
181756,1.83,1
182461,3.67,1
182477,0.2,0
182670,0.38,1
182768,1.02,1
183151,0.0,0
183504,0.38,1
183594,0.13,0
184110,0.41,1
184883,0.47,1
184913,0.46,1
185212,0.45,1
185394,0.1,0
185745,0.93,1
185847,0.02,0
185978,1.61,1
186084,0.7,1
186831,0.93,1
186888,3.36,1
187912,2.7199999999999998,1
188896,4.52,1
189275,5.15,1
190239,1.11,1
190297,0.71,1
190409,5.47,1
191091,1.98,1
191324,1.34,1
191657,1.1,1
192349,0.05,0
192752,0.0,0
192852,3.92,1
193360,1.64,1
193488,1.29,1
193637,0.76,1
193877,0.0,0
194262,0.09,0
194293,0.0,0
194457,0.07,0
194918,0.67,1
194994,0.4,1
195137,2.1500000000000004,1
195168,0.21,0
195783,0.47,1
196298,0.29,0
197156,0.24,0
197286,3.29,1
197755,2.11,1
198010,0.08,0
199392,2.1,1
200243,0.92,1
200376,0.19,0
200501,0.4,1
201232,0.06,0
201297,0.33,0
201390,0.21,0
201735,0.12,0
202249,0.94,1
202285,0.14,0
202507,0.0,0
202665,0.09,0
203039,0.69,1
204472,0.04,0
204539,0.86,1
204724,0.53,1
205055,0.11,0
205072,0.38,1
205480,0.3,0
206115,4.32,1
206337,0.98,1
207124,0.43,1
207356,0.02,0
208410,0.11,0
208565,3.21,1
209300,5.73,1
209460,7.0,1
209647,0.39,1
210602,0.0,0
210746,5.470000000000001,1
210899,0.26,0
211877,0.83,1
212420,0.13,0
212572,0.0,0
212722,1.88,1
212738,0.43,1
212865,0.0,0
213020,1.98,1
213877,0.0,0
214148,0.26,0
214287,0.03,0
214794,1.65,1
215570,0.1,0
215764,1.76,1
216191,1.01,1
216227,17.45,1
218425,0.34,0
219313,1.95,1
219320,0.09,0
219970,0.07,0
221266,0.06,0
221873,1.02,1
224009,0.15,0
224150,0.42,1
226563,0.0,0
227163,0.1,0
228012,1.24,1
228252,0.3,0
228583,0.18,0
230574,1.54,1
230856,0.11,0
232410,1.4,1
232651,0.0,0
233149,0.0,0
233161,0.0,0
233582,0.17,0
233804,1.02,1
234918,0.22,0
235719,0.54,1
236421,0.0,0
236659,0.02,0
238113,0.15,0
239106,1.0,1
239208,1.8,1
239437,1.01,1
239829,0.02,0
240048,0.5900000000000001,1
240360,0.52,1
240471,0.54,1
240584,0.46,1
240740,4.47,1
240878,0.44,1
241395,0.17,0
241559,1.89,1
241593,0.06,0
243321,0.0,0
243356,0.27,0
243427,0.2,0
244071,0.05,0
244340,0.0,0
244444,0.0,0
245881,2.75,1
245990,1.1,1
246710,0.0,0
247432,0.34,0
248404,0.02,0
248490,3.15,1
249006,0.9,1
249372,0.16,0
249753,0.04,0
251039,0.06,0
251176,2.82,1
251842,0.08,0
252059,0.07,0
252121,1.92,1
252361,3.17,1
252365,0.05,0
253057,0.19,0
253385,0.0,0
253533,0.49,1
254846,3.45,1
254860,0.02,0
255583,0.09,0
255597,2.4,1
256161,7.16,1
257306,1.34,1
257479,0.1,0
257904,0.46,1
258023,0.04,0
258164,1.98,1
258409,0.22,0
258674,1.07,1
259123,0.12,0
259240,0.07,0
259787,0.12,0
259826,0.02,0
260537,1.59,1
260544,0.19,0
260709,3.04,1
260958,4.09,1
261608,0.1,0
262138,0.37,1
262760,0.43,1
262812,0.53,1
262862,0.04,0
263500,2.42,1
263510,1.23,1
263614,0.02,0
263882,6.99,1
264111,0.12,0
264659,0.59,1
264928,0.32,0
265109,2.07,1
265278,2.72,1
265525,2.87,1
265827,0.0,0
265832,0.2,0
266210,0.16,0
266878,2.68,1
267955,1.52,1
268419,0.0,0
269710,1.33,1
270404,0.91,1
271073,0.0,0
271527,1.52,1
271799,5.66,1
272006,0.31,0
272730,0.7,1
272826,0.0,0
274296,4.38,1
274333,3.16,1
274557,1.0,1
274583,0.07,0
275459,0.06,0
275563,1.86,1
275578,1.1,1
275582,1.11,1
275744,0.1,0
276078,0.1,0
276207,0.08,0
276291,4.67,1
277379,9.79,1
277394,0.28,0
277613,0.32,0
277747,0.21,0
278393,9.86,1
279078,2.65,1
279797,0.32,0
279989,0.3,0
280830,4.59,1
280883,0.0,0
281229,1.94,1
281641,1.25,1
281814,0.0,0
282315,0.42,1
282655,9.08,1
282668,0.84,1
282927,0.5,1
283116,0.0,0
283395,1.01,1
283604,0.05,0
283636,0.54,1
283944,1.54,1
284199,0.04,0
284224,0.49,1
284570,0.61,1
285637,0.0,0
287122,1.9,1
287634,0.0,0
287733,1.04,1
288031,0.72,1
288711,2.55,1
288972,1.85,1
289135,2.17,1
289183,0.0,0
289653,1.02,1
289823,0.38,1
289838,0.02,0
290094,0.05,0
290317,1.18,1
290662,0.17,0
290845,1.79,1
290908,3.29,1
291112,0.31,0
292084,0.13,0
292137,0.08,0
292204,3.5000000000000004,1
292421,0.29,0
292522,2.99,1
292630,1.35,1
293394,0.04,0
293911,0.24,0
294307,3.68,1
294581,0.51,1
295128,1.8,1
295239,0.14,0
295562,0.67,1
295760,0.19,0
296231,0.0,0
296491,3.26,1
297176,3.8200000000000003,1
297762,0.3,0
298841,0.56,1
298914,1.02,1
299090,0.25,0
299236,0.16,0
299755,0.5,1
301346,0.02,0
301549,0.0,0
301836,0.0,0
302529,0.04,0
302544,0.35,0
302772,0.45,1
302865,0.0,0
303346,1.95,1
303882,0.57,1
303926,1.71,1
303939,10.8,1
304081,0.28,0
304148,0.0,0
304262,0.5700000000000001,1
304346,0.0,0
304493,0.83,1
304651,0.0,0
305132,0.56,1
305207,0.07,0
305591,0.06,0
305933,0.03,0
305972,1.29,1
306394,2.14,1
306545,3.1,1
306605,0.74,1
306739,5.84,1
306825,0.01,0
307241,1.66,1
307962,4.47,1
308068,0.06,0
308226,0.3,0
308652,1.31,1
308875,2.37,1
308930,0.18,0
309088,0.42,1
309329,1.39,1
309393,0.02,0
310296,4.890000000000001,1
310458,0.1,0
310670,3.8899999999999997,1
311286,0.7,1
312080,0.61,1
312276,0.76,1
312288,1.1800000000000002,1
312680,0.42,1
312722,1.4000000000000001,1
313079,3.39,1
313317,2.73,1
314008,0.15,0
314115,0.15,0
314256,0.99,1
314377,1.62,1
314582,4.74,1
314649,0.7,1
314941,2.2,1
315401,0.32,0
315606,0.12,0
315654,0.95,1
315824,2.47,1
315918,3.94,1
316474,0.03,0
317005,0.91,1
317692,0.07,0
317718,0.0,0
317809,2.45,1
318435,0.02,0
318729,1.85,1
318770,0.63,1
319077,0.88,1
319092,0.6,1
319488,2.02,1
319842,0.44,1
320114,0.63,1
320284,2.91,1
320422,0.0,0
320428,0.97,1
320450,0.12,0
320538,1.39,1
320761,0.49,1
321386,0.67,1
321710,0.02,0
321756,0.23,0
321934,0.1,0
322079,0.0,0
322344,1.09,1
322697,2.71,1
322716,0.16,0
322884,0.69,1
322934,0.83,1
323517,1.52,1
323537,1.32,1
324460,1.49,1
324628,2.92,1
324657,1.11,1
325453,0.0,0
325455,0.03,0
325862,0.36,1
325994,0.07,0
326150,0.19,0
326185,0.0,0
326329,0.01,0
326465,0.06,0
326952,0.07,0
327033,0.06,0
327489,0.43,1
327673,2.53,1
327778,0.34,0
327900,1.74,1
328621,0.14,0
329436,1.46,1
329917,0.1,0
329931,0.0,0
330123,0.16,0
330347,0.55,1
330371,3.33,1
330660,0.07,0
330976,0.35,0
331223,0.07,0
331328,2.48,1
331579,1.2799999999999998,1
332189,1.02,1
332521,0.0,0
333712,0.47,1
334485,0.0,0
335016,0.25,0
335046,1.31,1
336228,0.06,0
337159,0.08,0
338454,0.64,1
338562,0.09,0
338921,0.32,0
339586,0.4,1
340692,0.38,1
341981,0.74,1
342054,0.32,0
342599,0.22,0
342734,0.17,0
342760,0.38,1
344035,38.11,1
344583,3.36,1
345087,0.34,0
345252,0.71,1
346356,0.88,1
346366,0.26,0
347036,0.17,0
347475,0.88,1
347642,6.709999999999999,1
347953,1.14,1
349596,0.27,0
350055,0.25,0
350088,0.07,0
350553,0.05,0
350702,1.89,1
350773,0.0,0
351465,2.18,1
351650,0.04,0
352168,0.52,1
353965,1.26,1
354326,0.75,1
354330,0.58,1
354385,0.05,0
354887,2.37,1
355259,0.04,0
355548,0.31,0
356690,0.39,1
357117,0.3,0
357533,0.31,0
359307,0.03,0
359424,0.02,0
359447,0.2,0
359480,0.1,0
359692,1.78,1
361008,0.97,1
361155,0.87,1
361254,0.0,0
361722,0.54,1
361855,1.51,1
362418,3.54,1
362507,0.0,0
363717,0.18,0
363834,0.43,1
364351,0.02,0
364558,0.47,1
364955,0.43,1
365153,0.45,1
367815,1.35,1
368364,0.87,1
368528,0.03,0
368740,0.0,0
369015,0.8400000000000001,1
369154,0.34,0
369226,0.07,0
371936,4.09,1
372206,0.18,0
373019,0.86,1
373060,0.06,0
373085,0.35,0
374115,0.24,0
374305,0.32,0
377151,0.64,1
377287,0.04,0
377361,0.35,0
377783,0.11,0
378737,0.0,0
379051,0.05,0
379619,9.59,1
379827,0.63,1
380728,0.25,0
381669,0.19,0
382836,0.0,0
384430,1.23,1
384595,1.0,1
385367,0.29,0
386263,5.07,1
387844,0.94,1
388608,0.29,0
389297,0.0,0
389321,0.53,1
389684,2.17,1
389899,5.5,1
389924,0.64,1
390117,0.62,1
390251,1.15,1
390844,1.03,1
391488,0.0,0
391607,0.0,0
392478,0.0,0
392929,1.19,1
393107,0.28,0
393473,7.77,1
393944,0.0,0
394640,0.43,1
394752,0.03,0
394891,0.18,0
395627,1.37,1
396599,4.79,1
397423,3.86,1
397900,0.0,0
398617,1.08,1
400240,1.6400000000000001,1
400262,3.2,1
401517,0.54,1
401659,0.53,1
401696,2.89,1
402569,1.82,1
402591,0.13,0
403032,2.39,1
404424,0.07,0
404629,2.77,1
404692,0.34,0
405090,0.18,0
405225,0.1,0
405467,0.16,0
405555,0.02,0
405908,3.12,1
405986,0.29,0
406131,0.0,0
406843,1.8900000000000001,1
406987,0.07,0
407078,0.94,1
407407,0.08,0
407922,0.12,0
408485,0.72,1
409766,0.41,1
409965,0.59,1
410094,0.4,1
410665,0.21,0
410962,0.34,0
411039,0.0,0
411437,0.18,0
411560,0.09,0
411677,0.0,0
411697,2.01,1
412178,0.0,0
412228,0.0,0
413316,0.11,0
413447,0.29000000000000004,0
414477,0.23,0
414627,0.16,0
414999,0.02,0
415120,0.99,1
415290,0.0,0
415502,0.05,0
415605,0.83,1
415660,0.32,0
416238,0.06,0
416361,0.1,0
416918,0.0,0
417100,0.3,0
417504,11.639999999999999,1
417652,0.93,1
418289,0.03,0
419629,0.03,0
420111,0.9299999999999999,1
420399,0.17,0
420542,0.25,0
420620,0.0,0
420993,0.0,0
422561,0.08,0
423117,0.38,1
424078,5.76,1
424343,0.06,0
424656,0.0,0
424761,0.15,0
424878,0.52,1
425363,1.31,1
425506,0.0,0
425806,0.71,1
426725,0.27,0
427161,0.0,0
428210,1.24,1
428643,1.02,1
429305,0.0,0
430826,0.63,1
432107,0.32,0
432149,0.0,0
432318,0.1,0
432867,0.56,1
433207,8.4,1
433917,0.34,0
434473,0.56,1
434632,0.85,1
434987,1.84,1
436365,1.08,1
436599,0.46,1
436642,0.69,1
437960,0.12,0
438083,0.03,0
438133,0.57,1
438545,0.0,0
438572,0.07,0
438593,0.06,0
439827,0.0,0
440022,0.07,0
440145,0.23,0
440396,0.42,1
442106,0.15,0
444121,1.72,1
444275,0.56,1
444570,0.0,0
444603,0.07,0
444904,0.0,0
445894,3.01,1
446095,2.7,1
447754,0.27,0
447895,1.35,1
448027,0.32,0
448312,1.53,1
449601,0.1,0
449787,2.41,1
450050,0.53,1
451545,1.36,1
452781,0.04,0
453519,2.28,1
454009,0.0,0
454274,0.4,1
454756,0.05,0
455017,0.09,0
457147,0.67,1
457838,0.28,0
457976,4.27,1
458021,0.2,0
458965,0.57,1
459054,0.05,0
460765,0.04,0
461269,0.22,0
462379,0.0,0
462776,3.98,1
463061,0.54,1
465278,1.67,1
465589,4.1,1
466476,0.0,0
468752,3.94,1
469098,0.95,1
470675,0.17,0
470870,0.0,0
471453,0.91,1
473063,2.25,1
473113,1.03,1
473428,0.13,0
473497,0.0,0
473701,0.27,0
474940,0.0,0
475916,1.05,1
476260,0.03,0
477140,0.35,0
477865,1.11,1
478136,1.25,1
478395,3.8,1
478717,2.94,1
479432,1.86,1
479986,4.93,1
480923,0.01,0
480943,6.72,1
481603,0.0,0
481630,0.48,1
481921,0.52,1
482242,0.0,0
482816,0.22,0
483013,0.41,1
484993,0.0,0
485159,0.4,1
485349,0.0,0
485738,0.13,0
486147,0.42,1
486948,0.18,0
487613,0.0,0
488202,0.0,0
489400,1.91,1
489448,2.91,1
489734,0.14,0
489950,0.37,1
490608,0.52,1
492064,0.7,1
492457,1.38,1
493093,2.61,1
494022,0.0,0
496164,2.0300000000000002,1
496979,0.02,0
497672,1.56,1
498638,0.44,1
499896,2.56,1
501456,3.95,1
501891,0.0,0
502563,3.0,1
502829,0.37,1
502897,0.05,0
503555,0.04,0
503800,0.0,0
506007,0.85,1
506194,0.1,0
506208,0.04,0
506299,0.0,0
506779,0.26,0
506909,0.13,0
506980,0.0,0
507186,0.14,0
507304,0.01,0
507966,0.59,1
509341,0.12,0
509917,0.49,1
509918,0.07,0
510577,3.55,1
510931,0.9,1
511175,0.33,0
511993,0.07,0
512101,0.7,1
512878,4.27,1
513517,0.04,0
514261,1.29,1
515095,4.59,1
516015,0.06,0
516347,2.37,1
516563,0.11,0
516877,0.0,0
517772,0.04,0
517866,0.0,0
517966,5.1899999999999995,1
518931,1.08,1
519483,0.05,0
519554,4.25,1
520189,1.13,1
520279,0.18,0
521594,0.12,0
521964,4.6,1
522065,2.01,1
522164,0.15,0
523218,1.39,1
523307,0.69,1
524597,0.05,0
525663,0.0,0
525698,0.0,0
526105,0.3,0
526338,0.71,1
526653,0.45,1
526744,0.17,0
526805,0.95,1
527622,0.27,0
527811,4.8,1
528594,0.07,0
529412,1.22,1
529546,0.02,0
530032,0.34,0
530553,4.63,1
531006,0.27,0
532819,0.03,0
534328,1.02,1
534776,0.39,1
535128,0.35,0
535343,3.78,1
535999,0.1,0
536686,0.0,0
538008,0.86,1
538108,0.0,0
539204,0.0,0
539364,0.64,1
541486,0.83,1
542611,0.08,0
543959,0.03,0
544621,0.09,0
545273,0.0,0
545355,0.12,0
545374,0.1,0
545600,0.33,0
545623,2.46,1
547029,0.0,0
547177,0.33,0
547386,0.14,0
548817,11.68,1
549971,0.52,1
550009,0.0,0
551055,3.89,1
551139,0.6,1
552067,0.17,0
552288,0.44,1
552343,0.13,0
552679,0.9,1
555739,2.17,1
557157,0.46,1
557166,0.1,0
557329,0.2,0
557669,0.02,0
558101,0.52,1
562114,0.13,0
564585,0.0,0
564647,2.09,1
566200,0.14,0
566660,0.81,1
566838,13.61,1
567187,0.34,0
567972,0.07,0
568103,0.61,1
568568,0.56,1
568585,0.53,1
569319,0.0,0
569864,0.23,0
570442,0.0,0
570464,0.45,1
570988,2.15,1
571080,0.17,0
571952,0.54,1
572427,3.08,1
572527,0.03,0
572879,4.4,1
573065,1.26,1
573316,0.02,0
573868,0.0,0
574584,1.01,1
575906,0.0,0
576056,0.03,0
576387,0.1,0
576575,0.2,0
579126,0.0,0
579391,0.27,0
579495,0.78,1
580009,1.15,1
585166,0.31,0
585273,2.31,1
585829,0.51,1
585879,0.0,0
586409,1.86,1
586840,0.3,0
587918,1.33,1
588270,6.37,1
588899,0.03,0
588933,2.5,1
590825,0.06,0
591648,0.58,1
592967,0.08,0
593115,0.88,1
593135,1.41,1
595176,0.0,0
595368,0.0,0
595591,0.0,0
596623,0.43,1
598090,0.14,0
598167,0.83,1
598770,0.55,1
598896,0.33,0
599076,2.9,1
599354,0.0,0
599757,0.66,1
601586,0.0,0
602131,0.4,1
602359,4.140000000000001,1
603493,1.74,1
603592,0.37,1
605354,0.05,0
605463,3.54,1
605589,0.0,0
606135,0.05,0
606154,1.52,1
607823,0.0,0
608113,0.02,0
608275,0.02,0
608396,0.24,0
608700,2.32,1
610690,1.21,1
610819,2.56,1
611109,2.8,1
611408,0.23,0
611716,2.43,1
612551,0.28,0
612563,5.43,1
612818,0.51,1
615025,0.06,0
616155,0.72,1
616808,0.02,0
616825,0.19,0
617127,1.0,1
617427,0.1,0
617537,2.66,1
617990,1.6500000000000001,1
618586,2.61,1
618803,0.0,0
619330,0.09,0
619693,0.06,0
619942,6.23,1
620218,0.0,0
620288,0.03,0
620436,1.09,1
620810,0.02,0
621266,0.0,0
621652,1.09,1
621971,0.0,0
622460,0.79,1
622694,0.19,0
622779,0.26,0
622855,1.56,1
622866,1.62,1
623474,0.0,0
624101,0.3,0
624441,0.33,0
625092,0.21,0
625403,0.07,0
626289,0.41,1
626876,0.0,0
627217,9.93,1
627678,0.09,0
627898,0.37,1
630519,0.04,0
631374,0.04,0
631747,0.02,0
632334,0.17,0
632548,0.39,1
633339,0.07,0
633395,0.08,0
634004,2.86,1
634096,0.0,0
634195,0.04,0
634346,0.0,0
636319,0.0,0
637688,0.22,0
637733,0.2,0
